Matrix,Condition,Expected_Min,Spectral_Range,Mean_Eigenvalue,Std_Eigenvalue,SEM,CI_95_Lower,CI_95_Upper,Median_Eigenvalue,Min_Eigenvalue,Max_Eigenvalue,N_Trials,Mean_Norm_Error,Std_Norm_Error,N_Pass,Pass_Rate
M3_General2x2,RIGETTI-ANKAA3,1.0,3.0,1.005994001689173,1.1043650513701433e-09,3.4923089306185084e-10,1.005994000899158,1.0059940024791882,1.0059940013490853,1.0059940000523033,1.0059940031927692,10,0.0019980005630576636,3.6812168379851564e-10,10,1.0
M4_Symmetric3x3,ideal,1.0,3.0,1.002999152134566,0.006052402150300354,0.001913937611024987,0.998669524458637,1.007328779810495,1.0001623603015788,1.0000001435274886,1.0145302660901618,10,0.0009997173781887134,0.0020174673834334514,10,1.0
M4_Symmetric3x3,IBM-HERON-R1,1.0,3.0,1.044197290481109,0.0022346147528077964,0.0007066472311886779,1.042598743385504,1.045795837576714,1.044209746153605,1.0408004732234684,1.0473875946123359,10,0.014732430160369642,0.0007448715842692655,10,1.0
M4_Symmetric3x3,IBM-HERON-R2,1.0,3.0,1.0448048608618055,0.002173472085070644,0.0006873122219618485,1.0432500525958157,1.0463596691277952,1.0448524788979316,1.0414438894972244,1.0476452086749677,10,0.014934953620601849,0.0007244906950235481,10,1.0
M4_Symmetric3x3,IBM-HERON-R3,1.0,3.0,1.0218164980543782,0.0013916250624896507,0.0004400704846441447,1.0208209894554043,1.0228120066533521,1.0216114700298307,1.019857961346409,1.0243096563963712,10,0.007272166018126104,0.00046387502082988365,10,1.0
M4_Symmetric3x3,RIGETTI-ANKAA3,1.0,3.0,1.0871750907193494,0.0042157247288202625,0.0013331292131367714,1.0841593429209164,1.0901908385177823,1.0868696995452691,1.081050994964901,1.093668194957879,10,0.02905836357311648,0.0014052415762734207,10,1.0
M5_HeisenbergXXX,ideal,-3.0,4.0,-2.9999504602636313,8.41527798019043e-05,2.6611445560863077e-05,-3.0000106595358194,-2.9998902609914433,-2.9999997642934773,-2.9999999957594445,-2.999798366739072,10,1.238493409218e-05,2.103819495047608e-05,10,1.0
M5_HeisenbergXXX,IBM-HERON-R1,-3.0,4.0,-2.955705809752875,0.0013141933478324243,0.00041558442649923674,-2.956645927040028,-2.954765692465722,-2.9561291282168938,-2.9572758661331786,-2.953625527880487,10,0.011073547561781194,0.00032854833695810607,10,1.0
M5_HeisenbergXXX,IBM-HERON-R2,-3.0,4.0,-2.9551020712482523,0.001316805372822881,0.000416410421326749,-2.9560440570655206,-2.954160085430984,-2.955531991156911,-2.9566829583373364,-2.9530333519453715,10,0.011224482187936891,0.00032920134320572024,10,1.0
M5_HeisenbergXXX,IBM-HERON-R3,-3.0,4.0,-2.9783083505662074,0.000677250089947838,0.00021416528297890736,-2.9787928260951206,-2.977823875037294,-2.978441486553729,-2.979165587993945,-2.9772257347523112,10,0.005422912358448173,0.0001693125224869595,10,1.0
M5_HeisenbergXXX,RIGETTI-ANKAA3,-3.0,4.0,-2.9123258157216356,0.0025647668317284405,0.0008110504855515679,-2.914160539386917,-2.910491092056354,-2.913083397115591,-2.9150992631277415,-2.907894772530283,10,0.02191854606959117,0.00064119170793211,10,1.0
