row_id,budget,correct_selected_inspect_all,stable_selected_inspect_all,correct_selected_unique_mode,stable_selected_unique_mode,correct_selected_contrast_0.2,stable_selected_contrast_0.2,correct_selected_contrast_0.5,stable_selected_contrast_0.5,correct_selected_contrast_0.8,stable_selected_contrast_0.8,correct_selected_rank_0.05,stable_selected_rank_0.05,correct_selected_rank_0.01,stable_selected_rank_0.01,correct_selected_contrast_0.2_and_rank_0.05,stable_selected_contrast_0.2_and_rank_0.05,correct_selected_gap_0.05,stable_selected_gap_0.05
56,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,64,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333
57,128,0.03333333333333333,0.5666666666666667,0.03333333333333333,0.5333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
57,256,0.03333333333333333,0.5666666666666667,0.03333333333333333,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
57,512,0.06666666666666667,0.5666666666666667,0.06666666666666667,0.5666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
