row_id,algorithm,config_id,backend_name,target_group,budget,candidate_correct,holdout_unique_leader,holdout_candidate_mass,contrast,gap,rank_p,pass_inspect_all,pass_unique_mode,pass_contrast_0.2,pass_contrast_0.5,pass_contrast_0.8,pass_rank_0.05,pass_rank_0.01,pass_contrast_0.2_and_rank_0.05,pass_gap_0.05
9,GROVER,ASYM-1,ibm_torino,multiple,128,1.0,0.7333333333333333,0.46391369047619047,0.10323501888515604,0.09401041666666667,0.41421518782902217,1.0,0.9666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.7
9,GROVER,ASYM-1,ibm_torino,multiple,256,1.0,0.8333333333333334,0.470703125,0.06604190360593344,0.06002604166666667,0.47752482162388415,1.0,0.9333333333333333,0.0,0.0,0.0,0.16666666666666666,0.06666666666666667,0.0,0.5
9,GROVER,ASYM-1,ibm_torino,multiple,512,1.0,0.9666666666666667,0.4783203125,0.06291197305350707,0.057421875,0.26163644644084894,1.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,0.6666666666666666
10,GROVER,ASYM-2,ibm_fez,multiple,64,1.0,0.9666666666666667,0.3473611111111111,0.30732456772645905,0.16875,0.2228457364229447,1.0,1.0,0.7333333333333333,0.06666666666666667,0.0,0.4,0.16666666666666666,0.4,0.9
10,GROVER,ASYM-2,ibm_fez,multiple,128,1.0,1.0,0.35197172619047623,0.34952982041754815,0.18828125,0.018652747660109405,1.0,1.0,0.9666666666666667,0.0,0.0,0.9333333333333333,0.6333333333333333,0.9333333333333333,1.0
10,GROVER,ASYM-2,ibm_fez,multiple,256,1.0,1.0,0.35494791666666664,0.29422942501714683,0.15872395833333333,0.003632986470282393,1.0,1.0,1.0,0.0,0.0,1.0,0.8666666666666667,1.0,1.0
10,GROVER,ASYM-2,ibm_fez,multiple,512,1.0,1.0,0.351953125,0.31238348777321784,0.16901041666666666,1.091874112847809e-05,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
11,GROVER,ASYM-2,ibm_fez,multiple,64,1.0,0.8666666666666667,0.47434027777777776,0.1307465223773409,0.115625,0.47797260484691517,1.0,1.0,0.23333333333333334,0.0,0.0,0.1,0.0,0.1,0.7666666666666667
11,GROVER,ASYM-2,ibm_fez,multiple,128,1.0,0.8666666666666667,0.4741071428571429,0.09115633132284413,0.08177083333333333,0.4738846774542893,1.0,0.9666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.6666666666666666
11,GROVER,ASYM-2,ibm_fez,multiple,256,1.0,0.9333333333333333,0.4797309027777778,0.07959038374503805,0.07161458333333333,0.35681293300804173,1.0,1.0,0.03333333333333333,0.0,0.0,0.13333333333333333,0.06666666666666667,0.03333333333333333,0.6666666666666666
11,GROVER,ASYM-2,ibm_fez,multiple,512,1.0,1.0,0.48873697916666664,0.08127962928113419,0.07278645833333333,0.19506222775207344,1.0,1.0,0.0,0.0,0.0,0.43333333333333335,0.1,0.0,0.7
12,GROVER,ASYM-2,ibm_fez,multiple,64,1.0,0.7666666666666667,0.4594097222222222,0.10469053577674864,0.09375,0.5591081743417347,1.0,0.9333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.7
12,GROVER,ASYM-2,ibm_fez,multiple,128,1.0,0.7666666666666667,0.45751488095238096,0.10339080085046584,0.09166666666666666,0.43691877462840717,1.0,0.9666666666666667,0.1,0.0,0.0,0.1,0.03333333333333333,0.1,0.7
12,GROVER,ASYM-2,ibm_fez,multiple,256,1.0,0.8,0.4590711805555555,0.06876107128906923,0.06145833333333333,0.416500360979447,1.0,0.9333333333333333,0.0,0.0,0.0,0.1,0.03333333333333333,0.0,0.6333333333333333
12,GROVER,ASYM-2,ibm_fez,multiple,512,1.0,0.8666666666666667,0.4630208333333333,0.07559581151745866,0.06751302083333334,0.21075234658149727,1.0,1.0,0.0,0.0,0.0,0.26666666666666666,0.06666666666666667,0.0,0.7333333333333333
13,GROVER,ASYM-2,ibm_fez,multiple,64,1.0,0.9,0.48444444444444446,0.14976599313735697,0.134375,0.44156731371801006,1.0,1.0,0.16666666666666666,0.03333333333333333,0.0,0.1,0.1,0.1,0.8333333333333334
13,GROVER,ASYM-2,ibm_fez,multiple,128,1.0,0.9,0.4843377976190476,0.1062597112725591,0.09609375,0.4270822480755118,1.0,0.9666666666666667,0.13333333333333333,0.0,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.6666666666666666
13,GROVER,ASYM-2,ibm_fez,multiple,256,1.0,0.9333333333333333,0.4869357638888889,0.09492504866622985,0.08606770833333334,0.28851268372252875,1.0,1.0,0.03333333333333333,0.0,0.0,0.2,0.06666666666666667,0.03333333333333333,0.7333333333333333
13,GROVER,ASYM-2,ibm_fez,multiple,512,1.0,1.0,0.4964192708333333,0.09845821820237154,0.08854166666666667,0.06778783906227856,1.0,1.0,0.0,0.0,0.0,0.5666666666666667,0.2,0.0,0.9666666666666667
14,GROVER,ASYM-2,ibm_kingston,multiple,64,1.0,0.8666666666666667,0.4582638888888889,0.13760027148397508,0.11979166666666667,0.4562143237902198,1.0,1.0,0.3,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7666666666666667
14,GROVER,ASYM-2,ibm_kingston,multiple,128,1.0,0.7,0.44646577380952385,0.09805597979310633,0.08411458333333334,0.44720759195336957,1.0,0.9666666666666667,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.7
14,GROVER,ASYM-2,ibm_kingston,multiple,256,1.0,0.9666666666666667,0.4639756944444445,0.0956778651396208,0.08346354166666667,0.29587828567240554,1.0,0.9666666666666667,0.06666666666666667,0.0,0.0,0.23333333333333334,0.1,0.06666666666666667,0.7333333333333333
14,GROVER,ASYM-2,ibm_kingston,multiple,512,1.0,1.0,0.47024739583333336,0.07621077394576656,0.06640625,0.21790968891016627,1.0,1.0,0.0,0.0,0.0,0.4,0.03333333333333333,0.0,0.7
15,GROVER,ASYM-2,ibm_kingston,multiple,64,1.0,0.7666666666666667,0.4511458333333333,0.1277786258057875,0.11354166666666667,0.5271528678429206,1.0,0.8666666666666667,0.3,0.0,0.0,0.13333333333333333,0.0,0.13333333333333333,0.6666666666666666
15,GROVER,ASYM-2,ibm_kingston,multiple,128,1.0,0.5666666666666667,0.4474330357142857,0.06193863223928732,0.05520833333333333,0.6152736688855154,1.0,0.9333333333333333,0.03333333333333333,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.5666666666666667
15,GROVER,ASYM-2,ibm_kingston,multiple,256,1.0,0.6,0.44921875,0.047162610689907014,0.04192708333333333,0.5805572337156012,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664
15,GROVER,ASYM-2,ibm_kingston,multiple,512,1.0,0.43333333333333335,0.44361979166666665,0.03524075697720504,0.03170572916666667,0.528849548645063,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
16,GROVER,ASYM-2,ibm_torino,multiple,64,1.0,0.6333333333333333,0.36,0.08443973009154676,0.06197916666666667,0.6836687600371284,1.0,0.8666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.4666666666666667
16,GROVER,ASYM-2,ibm_torino,multiple,128,1.0,0.8,0.36633184523809526,0.09947366761253322,0.07083333333333333,0.49492219504571316,1.0,0.9666666666666667,0.1,0.0,0.0,0.1,0.0,0.1,0.5333333333333333
16,GROVER,ASYM-2,ibm_torino,multiple,256,1.0,0.8,0.36453993055555556,0.07484279056095869,0.05364583333333333,0.4442918099914165,1.0,0.9666666666666667,0.0,0.0,0.0,0.1,0.0,0.0,0.43333333333333335
