cohort,backend_name,target_group,policy,jobs,selected,correct_selected,wrong_selected,correct_deferred,selection_rate,correct_fraction_selected,correct_candidate_retention
teleportation_hardware,rigetti_ankaa_3,singleton,contrast_0.2_and_rank_0.05,44,2,2.0,0.0,23.833333333333332,0.045454545454545456,1.0,0.07741935483870968
teleportation_hardware,rigetti_ankaa_3,singleton,gap_0.05,44,34,22.0,12.0,3.833333333333332,0.7727272727272727,0.6470588235294118,0.8516129032258065
teleportation_hardware,,singleton,inspect_all,72,72,29.0,43.0,0.0,1.0,0.4027777777777778,1.0
teleportation_hardware,,singleton,unique_mode,72,51,25.0,26.0,4.0,0.7083333333333334,0.49019607843137253,0.8620689655172413
teleportation_hardware,,singleton,contrast_0.2,72,41,22.0,19.0,7.0,0.5694444444444444,0.5365853658536586,0.7586206896551724
teleportation_hardware,,singleton,contrast_0.5,72,17,13.0,4.0,16.0,0.2361111111111111,0.7647058823529411,0.4482758620689655
teleportation_hardware,,singleton,contrast_0.8,72,7,7.0,0.0,22.0,0.09722222222222222,1.0,0.2413793103448276
teleportation_hardware,,singleton,rank_0.05,72,7,7.0,0.0,22.0,0.09722222222222222,1.0,0.2413793103448276
teleportation_hardware,,singleton,rank_0.01,72,3,3.0,0.0,26.0,0.041666666666666664,1.0,0.10344827586206896
teleportation_hardware,,singleton,contrast_0.2_and_rank_0.05,72,7,7.0,0.0,22.0,0.09722222222222222,1.0,0.2413793103448276
teleportation_hardware,,singleton,gap_0.05,72,51,25.0,26.0,4.0,0.7083333333333334,0.49019607843137253,0.8620689655172413
teleportation_simulator,rigetti_ankaa_3,singleton,inspect_all,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,rigetti_ankaa_3,singleton,unique_mode,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,rigetti_ankaa_3,singleton,contrast_0.2,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,rigetti_ankaa_3,singleton,contrast_0.5,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,rigetti_ankaa_3,singleton,contrast_0.8,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,rigetti_ankaa_3,singleton,rank_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,rigetti_ankaa_3,singleton,rank_0.01,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,rigetti_ankaa_3,singleton,contrast_0.2_and_rank_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
teleportation_simulator,rigetti_ankaa_3,singleton,gap_0.05,4,4,4.0,0.0,0.0,1.0,1.0,1.0
