status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,iteration,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,13,7,28,"{""h"": 10, ""cx"": 7, ""sdg"": 4, ""s"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 722, ""11"": 946, ""10"": 1566, ""00"": 862}",0.21044921875,d09smybqnmvg00870b8g,ibm_sherbrooke,1,2.0,2.0,completed,0.21044921875,2025-05-01T15:59:53.763Z,2025-05-01T16:00:04.065Z,2025-05-01T15:59:56.184Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:00:01', stop='2025-05-01 16:00:03', size=4096>)])",1.743341
completed,13,7,28,"{""h"": 10, ""cx"": 7, ""s"": 3, ""sdg"": 3, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 2339, ""10"": 346, ""01"": 248, ""11"": 1163}",0.571044921875,d09sn6cnhqag008pef20,ibm_sherbrooke,2,2.0,2.0,completed,0.571044921875,2025-05-01T16:00:25.279Z,2025-05-01T16:00:32.956Z,2025-05-01T16:00:27.279Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:00:30', stop='2025-05-01 16:00:32', size=4096>)])",1.751264
completed,13,7,28,"{""cx"": 7, ""h"": 6, ""z"": 4, ""sdg"": 2, ""s"": 2, ""x"": 2, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""11"": 735, ""01"": 322, ""00"": 2410, ""10"": 629}",0.58837890625,d09sndx6rr3g0087691g,ibm_sherbrooke,3,2.0,2.0,completed,0.58837890625,2025-05-01T16:00:55.491Z,2025-05-01T16:01:01.864Z,2025-05-01T16:00:58.082Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:00:59', stop='2025-05-01 16:01:00', size=4096>)])",1.906666
completed,13,7,28,"{""cx"": 7, ""h"": 6, ""y"": 4, ""sdg"": 3, ""s"": 3, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 819, ""11"": 1026, ""10"": 1576, ""01"": 675}",0.199951171875,d09snkenhqag008pef80,ibm_sherbrooke,4,2.0,2.0,completed,0.199951171875,2025-05-01T16:01:17.146Z,2025-05-01T16:01:25.000Z,2025-05-01T16:01:19.912Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:01:22', stop='2025-05-01 16:01:24', size=4096>)])",1.720536
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""sdg"": 4, ""s"": 4, ""x"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 1921, ""11"": 1035, ""01"": 466, ""10"": 674}",0.468994140625,d09sntqrxz8g008a436g,ibm_sherbrooke,5,2.0,2.0,completed,0.468994140625,2025-05-01T16:01:46.958Z,2025-05-01T16:01:57.827Z,2025-05-01T16:01:54.569Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:01:55', stop='2025-05-01 16:01:57', size=4096>)])",1.771455
completed,13,7,28,"{""z"": 8, ""cx"": 7, ""h"": 6, ""y"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 506, ""11"": 816, ""00"": 970, ""10"": 1804}",0.23681640625,d09sp28rxz8g008a4390,ibm_sherbrooke,6,2.0,2.0,completed,0.23681640625,2025-05-01T16:02:18.044Z,2025-05-01T16:02:24.540Z,2025-05-01T16:02:20.989Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:02:21', stop='2025-05-01 16:02:23', size=4096>)])",1.7168700000000001
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""sdg"": 3, ""s"": 3, ""y"": 2, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""00"": 2356, ""01"": 333, ""10"": 645, ""11"": 762}",0.5751953125,d09sp91nhqag008pefe0,ibm_sherbrooke,7,2.0,2.0,completed,0.5751953125,2025-05-01T16:02:44.734Z,2025-05-01T16:02:54.128Z,2025-05-01T16:02:47.940Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:02:51', stop='2025-05-01 16:02:53', size=4096>)])",1.771607
completed,13,7,28,"{""cx"": 7, ""h"": 6, ""x"": 4, ""y"": 2, ""s"": 2, ""sdg"": 2, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""01"": 932, ""11"": 2069, ""00"": 491, ""10"": 604}",0.119873046875,d09sphad8drg008ymteg,ibm_sherbrooke,8,3.0,3.0,completed,0.119873046875,2025-05-01T16:03:17.367Z,2025-05-01T16:04:38.072Z,2025-05-01T16:04:25.591Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:04:35', stop='2025-05-01 16:04:37', size=4096>)])",2.030536
completed,13,7,28,"{""h"": 8, ""cx"": 7, ""x"": 4, ""y"": 4, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""11"": 2113, ""10"": 627, ""01"": 883, ""00"": 473}",0.115478515625,d09sqc5d8drg008ymtpg,ibm_sherbrooke,9,2.0,2.0,completed,0.115478515625,2025-05-01T16:05:05.260Z,2025-05-01T16:05:19.801Z,2025-05-01T16:05:08.098Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:05:17', stop='2025-05-01 16:05:18', size=4096>)])",1.724691
completed,13,7,28,"{""h"": 10, ""cx"": 7, ""y"": 6, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,6,ibm,fixed_payload_experiments,"{""11"": 512, ""10"": 1748, ""00"": 1050, ""01"": 786}",0.25634765625,d09sqmyrxz8g008a43kg,ibm_sherbrooke,10,2.0,2.0,completed,0.25634765625,2025-05-01T16:05:40.017Z,2025-05-01T16:05:47.897Z,2025-05-01T16:05:43.559Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-05-01 16:05:45', stop='2025-05-01 16:05:46', size=4096>)])",1.784522
