dataset,encoding,preprocessing,fold,seed,n_qubits,train_accuracy,test_accuracy,f1_macro,convergence_iters,final_loss,generalization_gap,wall_time_seconds,circuit_depth,gate_count,cx_count,svm_rbf_acc,svm_rbf_f1,random_forest_acc,random_forest_f1,logistic_regression_acc,logistic_regression_f1,expressibility,entanglement_mw,kernel_alignment
iris,iqp_full,none,2,44,4,0.5,0.4333,0.4175,1,1.322037,0.0667,2.13,,,,0.9333333333333333,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.9333333333333333,0.9326599326599326,0.018029,0.9259,-0.8012
iris,iqp_full,none,3,45,4,0.16,0.3333,0.3381,5,1.130883,-0.1733,2.19,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.018029,0.9259,-0.8012
iris,iqp_full,none,4,46,4,0.48,0.4333,0.3908,1,1.227521,0.0467,2.13,,,,0.9333333333333333,0.9333333333333332,0.9,0.899749373433584,0.9333333333333333,0.9333333333333332,0.018029,0.9259,-0.8012
iris,iqp_full,minmax_pi,0,42,4,0.38,0.3667,0.3407,9,1.059132,0.0133,2.1,34.0,80.0,18.0,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.018029,0.6966,-0.6124
iris,iqp_full,minmax_pi,1,43,4,0.76,0.5333,0.5251,1,0.985861,0.2267,2.09,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.018029,0.6966,-0.6124
iris,iqp_full,minmax_pi,2,44,4,0.4,0.3333,0.324,2,1.083418,0.0667,1.88,,,,0.9,0.899749373433584,0.9333333333333333,0.9326599326599326,0.9,0.899749373433584,0.018029,0.6966,-0.6124
iris,iqp_full,minmax_pi,3,45,4,0.66,0.3667,0.3155,2,1.203382,0.2933,2.01,,,,1.0,1.0,0.9666666666666667,0.9665831244778613,1.0,1.0,0.018029,0.6966,-0.6124
iris,iqp_full,minmax_pi,4,46,4,0.28,0.4333,0.4134,1,1.280658,-0.1533,2.03,,,,0.9,0.899749373433584,0.9,0.899749373433584,0.9,0.899749373433584,0.018029,0.6966,-0.6124
iris,iqp_full,zscore_sigmoid,0,42,4,0.3,0.0667,0.0476,1,1.337009,0.2333,2.02,34.0,80.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018029,0.9492,-0.6185
iris,iqp_full,zscore_sigmoid,1,43,4,0.34,0.3333,0.2733,1,1.146943,0.0067,1.98,,,,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.9666666666666667,0.9665831244778613,0.018029,0.9492,-0.6185
